intervalli,trapezi,simpson,gauss
11025,3.6144430418284324350704342171002112516794078234176e-06,3.63456619321742315909777418754794564882912520327002e-13,3.86421405905927889719874829485075799247042730294073e-24
11236,3.47996696250253672842504137418384919100910460961752e-06,3.36914780778006202299210885739438634702546071443096e-13,3.72044520609839431703415381022707992620546699569149e-24
11449,3.35168712913648885614863238757690809588492739215827e-06,3.12533643976605888012196907901677324241040157968236e-13,3.58330078113077097840936945187455562726485191015326e-24
11664,3.22926407236801649124931508733026219291416888899925e-06,2.90119528773597067168043573546690595217705479522509e-13,3.45241785632851808241692991320277982052930093337425e-24
11881,3.11237982404215518862257548498547463842698599948399e-06,2.69497681619573340086118897681212830146935942574954e-13,3.32745649087252291612776211200732952802904800206543e-24
12100,3.00073637481347890754209685706228833281971470318545e-06,2.50510275753696831762003384728295276700897513941418e-13,3.20809808197047064574917230090921299743937385059345e-24
12321,2.89405425511474413025037487533317509164943596711318e-06,2.33014638302074798972177653539512095764620840750056e-13,3.09404384776622164298359434619618414542136148358206e-24
12544,2.79207122862508948952033087718836164260316001397816e-06,2.16881676791697953254957999557327244102957942660831e-13,2.98501343052276391703764025938408728243174550760707e-24
12769,2.69454108841465922195959267301478508358098162351085e-06,2.01994481136676955335097564742324802323147288637664e-13,2.88074360957680797394661997609826118031144667953091e-24
12996,2.60123254687783396431907360630481775834963808869688e-06,1.88247080199246609183313987678435586326826361182151e-13,2.78098711456303862740502697431370818965787689852982e-24
13225,2.51192821140625048540029376350247183243867601480837e-06,1.75543334679876251301030637740737945429666684436748e-13,2.68551153030301272612207849214720244007099766736053e-24
13456,2.42642363850612639498613688181579087939862152951342e-06,1.63795950371130702737110277313988419231957298470819e-13,2.59409828555908310368859208345494944189170354583024e-24
13689,2.34452645974147190888049902776100067424224992498029e-06,1.52925597804152107108332260209059902411308233863504e-13,2.50654171857758172943468370158416704848933579932214e-24
13924,2.26605557349386320385663318639812357428687681031252e-06,1.42860126032237731344511774573112911979665201263143e-13,2.42264821299667705037609540872611326834805325703299e-24
14161,2.19084039707790214652278323085289351368846851536468e-06,1.33533859803595595728286652144202041114780717165009e-13,2.34223539828066984846503015117140778947053347450258e-24
14400,2.11872017424578206447463108837117251984099032621967e-06,1.24886970672129873624448328899105333901231596400419e-13,2.26513140937094367971257060577662937552048196090536e-24
14641,2.04954333356026442910552088074255339756743247217187e-06,1.16864913740733919777994727830415529341293456204887e-13,2.19117420072048282777947317968898637354825618465049e-24
14884,1.98316689351794135719130560651803351037534111439592e-06,1.09417922716096229003702964848664232678292951928994e-13,2.12021091030925925180691892003376978108737367877599e-24
15129,1.91945591066843550229137496897349222644224702569397e-06,1.02500556829002670409630944615748051671248246069622e-13,2.05209726962670448738351257569890832112061314588861e-24
15376,1.85828296730418969121635083037072565447419877193249e-06,9.6071293924715141487664097789041960624706175842034e-14,1.98669705595921797896879974208921452660685593520371e-24
15625,1.79952769559329654602894285810713361635792146269594e-06,9.00921646996198850293757255717288081607253554617922e-14,1.92388158363903976058311222246779678751409247637772e-24
15876,1.74307633529759406760317331621113571985658726097602e-06,8.45284236348392265845230009251751632751844490791468e-14,1.8635292311992333029937947032606383706577280616744e-24
16129,1.68882132246284103458230538835838418679214542072719e-06,7.93482526955690100275250584266808378382906131233299e-14,1.80552500164101385589519184244752733343829555394853e-24
16384,1.63666090668971404616448219428633041204255007950349e-06,7.45224943062343852621866524157125607686330698559157e-14,1.74976011325692137299084245025655049437505693110141e-24
16641,1.5864987947958929280332521258825039276017342243551e-06,7.00244105131538702848655609802213223220324526635288e-14,1.69613161866878788602220671607102246099143064017698e-24
16900,1.53824381886263963281862582801677173469218514257712e-06,6.58294655865775991616576931100252002216731968288713e-14,1.64454204993524294647065965249280691419407619306899e-24
17161,1.49180962682583127749095324761713928302117001019718e-06,6.19151296268121436813423367186573862950307994066356e-14,1.5948990877615656891567641945052798318271001836275e-24
17424,1.44711439392299505063916689080878295447910941465096e-06,5.82607010021565527436410677758606910753474347316526e-14,1.54711525300675423449138244305914177353023206047481e-24
17689,1.40408055344595786002665726761162363297610322705824e-06,5.48471456912936740255050735931192223344176292726197e-14,1.50110761883028895674170020265438438383659145900406e-24
17956,1.36263454537456382424113821238706371290298433605948e-06,5.16569518066882262993353870445539784966631655048494e-14,1.4567975419556022821133726003222875937307864386003e-24
18225,1.3227065815816920883317600023263414068326452415854e-06,4.86739977682490229365996958681446233480476358987639e-14,1.41411041164997862738158559978594829368414917885297e-24
18496,1.28423042640457151241608423202293644036738441409002e-06,4.58834327549688735646910842947370251685672830916347e-14,1.37297541513261164729395912692828171747936437535142e-24
18769,1.2471431914730774290883693102979627663712383716523e-06,4.32715682146575555542531212426798054572533327284535e-14,1.33332531822484695980092459527504237035375139027093e-24
19044,1.21138514377315446862627220323830202385170685057864e-06,4.08257793352549678012045764420359389833483424593953e-14,1.2950962601501409722187421295801615689320134465091e-24
19321,1.17689952600349974896132895528922957514433274905702e-06,3.85344155023740285234204864381708358745907579370143e-14,1.25822756147678428736053139419508843113049295172449e-24
19600,1.14363238835684854671996816914256917125939397124138e-06,3.63867188639139964892882561233496182461192354466226e-14,1.22266154427470485903867896029671058618991119320508e-24
19881,1.11153243092424854693094785721069572986997122711512e-06,3.43727502194358705636038462694083609644478734596726e-14,1.18834336362934298120941338673867165483458706379984e-24
20164,1.08055085598214720919726742486005553737862557764247e-06,3.24833215270520278370600785319382844221143658982446e-14,1.15522084972127421098913044969673591351966246172497e-24
20449,1.05064122947845390337679716310692200016138621318837e-06,3.0709934398437955979724403507239769300853580086845e-14,1.12324435974048650148667451189268505983190448471786e-24
20736,1.02175935108542996763435920594031140733970907511389e-06,2.90447240111527122012589390112773861204707544193673e-14,1.0923666389594813560229689624636774887382180372085e-24
21025,9.9386313223471789461379141110935400966570144061717e-07,2.7480407930410540465242096638804731537286205629803e-14,1.06254269034010636119655691241878851102821333604536e-24
21316,9.66912481593418511936214425278026012971594203590684e-07,2.60102393781287497374992238189018914565535570315709e-14,1.03372965209563684589785847095263972250214672493315e-24
21609,9.40869197480200181926841429923591423648670989583198e-07,2.46279645382998173599149597329098631873508747705871e-14,1.00588668267246888653784335245725195880050953848477e-24
21904,9.15696866757282956714364194608070854348795985267148e-07,2.33277835232978067183991955068148830024068563771538e-14,9.78974852655191852698173810623275768439891610012076e-25
22201,8.91360769768061059120703130877804037316678066609719e-07,2.21043146676772330554536921528196998280820131210975e-14,9.52957043135073127272750090258594169960366702262151e-25
22500,8.67827790921361123393080027260827056602323748416503e-07,2.09525618436201240106920298429745240270980460342435e-14,9.27797850115380068487855446768765423749137610695464e-25
22801,8.45066334552110288881411319681596737616909658651341e-07,1.98678845267751219205828286424547029065584768832774e-14,9.03463494557729496174102715641011227001578084786383e-25
23104,8.23046245714715580876737924812386116208111568130308e-07,1.88459703625460407322798736098430317118482339415177e-14,8.79921737702015447304185368295784759846246789069996e-25
23409,8.01738735589923270003868036479023978183396772150509e-07,1.78828100116124300061900203077319408019937285454134e-14,8.57141801318623966687617040830434136756712224256875e-25
23716,7.81116311208506274431275399068486488201462648841962e-07,1.69746740698083017077184828096815059813967481799253e-14,8.3509429257578337691665521558432845656261859559392e-25
24025,7.61152709215975955383174640601036756130622638389462e-07,1.61180918815217182940464359662195927598206451629315e-14,8.13751133227187439993921852084959064939163032984353e-25
24336,7.41822833421774718309596157146403581145520649558669e-07,1.53098320781824120227479873894323114293167397944236e-14,7.93085492845619816018424676681101253296091197994823e-25
24649,7.23102695894207915107985578262623242980962423609909e-07,1.45468846936769686092843822856311659972225931224437e-14,7.73071725847340487708794945795704767628366559953621e-25
24964,7.04969361378836462067885016926108596329698498398104e-07,1.38264447178075453052379379719698777363814885775385e-14,7.53685312069595378929500352566662953108468713709759e-25
25281,6.87400894833283796449507004514152524692682662738648e-07,1.31458969661483846143631575607401762213743507423065e-14,7.34902800679895197868516343847333886080060080973668e-25
25600,6.70376311885511344468396649166132518986298495387103e-07,1.25028021514428619878492370352805042716082662592984e-14,7.16701757210784478575739964825096372909672368455206e-25
25921,6.5387553203567608510271770195330724936457081447197e-07,1.18948840564665688737777354679901784547809381656288e-14,6.99060713527783653574268716737380917886475681327697e-25
26244,6.37879334433784837903012709876147834781697534602346e-07,1.13200177130889858469795111476186190537102673199309e-14,6.81959120551124255207175106626130609913270140254005e-25
26569,6.22369316076578305939180210551355387713004403434224e-07,1.07762185050534710763322729348344284354066483023242e-14,6.65377303563890974314376781291288058784152886555253e-25
26896,6.07327852277482989239563657792711821962300937762237e-07,1.02616321152228588527210194752730924907258025871275e-14,6.49296419950308414179710456033759146002654819429588e-25
27225,5.92738059273124343576869899819345884805697360089544e-07,9.77452524919636079282931181197551605366160002582068e-15,6.33698419218232847085342938966106891554484171700862e-25
27556,5.78583758838858182028052365754537986519883835751679e-07,9.31327706917131250371360752634490130199951620973925e-15,6.1856600516949231900114720756464780204306388014486e-25
27889,5.64849444794102656245951621900870747685678959880934e-07,8.87637128174642246182295054580767153645647959568554e-15,6.03882600090619095697502316924798033525281669896126e-25
28224,5.51520251285989158486550539291183629489154366763616e-07,8.46238882432632451939061508691586373542109872642626e-15,5.896323108447890309881846947446615876069836115471e-25
28561,5.38581922747042083172988040675988564061263234899451e-07,8.07000110351062694864343718725371127102472051214445e-15,5.75799896753470998653222092224477693556091970665057e-25
28900,5.26020785429285839993329503579263166127954211127825e-07,7.69796373901293691936649782294704147791479575776223e-15,5.62370739163440177025784307531272981669803849415629e-25
29241,5.13823720423400732723485128491180937790121531789966e-07,7.34511077446867320111863625592045890276230336682526e-15,5.49330812601462242690635030917625471031191178455003e-25
29584,5.01978138077342163734437727405631253071169400337669e-07,7.010349316015209056378022592311644489803488087865e-15,5.3666665742514868038832761780581197616591820732781e-25
29929,4.90471953734232152080801555633485885074272941820283e-07,6.69265456658435674746218921715544567820682312779543e-15,5.24365353884250723993457173335888590457187540673788e-25
